arch,window_s,mode,test_cer
rwkv6,full,full-utt,0.10490400184878454
rwkv6,2.0,reset,0.2527446535725301
rwkv6,2.0,carry,0.16682001042016678
rwkv6,5.0,reset,0.15278751999293178
rwkv6,5.0,carry,0.13020259515648264
rwkv6,10.0,reset,0.12581204264837026
rwkv6,10.0,carry,0.12218342280223785
mamba2,full,full-utt,0.10360394253724622
mamba2,2.0,reset,0.2208760351766089
mamba2,2.0,carry,0.12457983971918504
mamba2,5.0,reset,0.14485339826491206
mamba2,5.0,carry,0.1211013524599427
mamba2,10.0,reset,0.1255399935946595
mamba2,10.0,carry,0.121195832397366
linear_attn,full,full-utt,0.18787162486989892
linear_attn,2.0,reset,0.29180462231072957
linear_attn,2.0,carry,0.2213860675348603
linear_attn,5.0,reset,0.22893871909512312
linear_attn,5.0,carry,0.21291967333627992
linear_attn,10.0,reset,0.21295992115489434
linear_attn,10.0,carry,0.21133894854910087
