arch,mode,mechanism,dir,test_cer,hatch
rwkv6,causal,vanilla,7m_rwkv6_causal_vanilla_seed42,0.10490400184878454,
rwkv6,causal,MSDC,7m_rwkv6_causal_multidil_v2_seed42,0.07882414054479026,
rwkv6,causal,CVD,7m_rwkv6_causal_lucid_chunked_seed42,0.10072819470227588,
rwkv6,causal,DHO,7m_rwkv6_causal_rse_depth_viscosity_seed42,0.0988523555692622,
rwkv6,LION-S,vanilla,7m_rwkv6_lion_vanilla_seed42,0.08590564307951391,///
rwkv6,LION-S,MSDC,7m_rwkv6_lion_multidil_v2_seed42,0.07498351283955677,///
rwkv6,LION-S,CVD,7m_rwkv6_lion_lucid_chunked_seed42,0.08523848469721086,///
rwkv6,LION-S,DHO,7m_rwkv6_lion_rse_depth_viscosity_seed42,0.07396077297790715,///
mamba2,causal,vanilla,7m_mamba2_causal_vanilla_seed42,0.10360394253724622,
mamba2,causal,MSDC,7m_mamba2_causal_multidil_v2_seed42,0.08253682004496828,
mamba2,causal,CVD,7m_mamba2_causal_lucid_c_seed42,0.09575546987025482,
mamba2,causal,DHO,7m_mamba2_causal_rse_strong_viscosity_seed42,0.10060394253724622,
mamba2,LION-S,vanilla,7m_mamba2_lion_vanilla_seed42,0.08534296124906617,///
mamba2,LION-S,MSDC,7m_mamba2_lion_multidil_v2_seed42,0.08333533203559235,///
mamba2,LION-S,CVD,7m_mamba2_lion_lucid_c_seed42,0.08493197898373261,///
mamba2,LION-S,DHO,7m_mamba2_lion_rse_depth_viscosity_seed42,0.08245702290458261,///
linear_attn,causal,vanilla,7m_linear_attn_causal_vanilla_seed42,0.18787162486989892,
linear_attn,causal,MSDC,7m_linear_attn_causal_multidil_v2_seed42,0.14088142042453258,
linear_attn,causal,CVD,7m_linear_attn_causal_lucid_seed42,0.17139477518003854,
linear_attn,causal,DHO,7m_linear_attn_causal_rse_strong_viscosity_seed42,0.11975704603990174,
linear_attn,LION-LIT,vanilla,7m_linear_attn_lion_vanilla_seed42,0.2950824423490674,xxx
linear_attn,LION-LIT,MSDC,7m_linear_attn_lion_multidil_v2_seed42,0.14042741452579666,xxx
linear_attn,LION-LIT,CVD,7m_linear_attn_lion_lucid_seed42,0.3194148812231418,xxx
linear_attn,LION-LIT,DHO,7m_linear_attn_lion_rse_depth_viscosity_seed42,0.10417811525089761,xxx
linear_attn,LION-S,vanilla,7m_linear_attn_lion_s_vanilla_seed42,0.13808946741206793,///
linear_attn,LION-S,MSDC,7m_linear_attn_lion_s_multidil_v2_seed42,0.11537333182838862,///
linear_attn,LION-S,CVD,7m_linear_attn_lion_s_lucid_seed42,0.1310894415652763,///
linear_attn,LION-S,DHO,7m_linear_attn_lion_s_rse_depth_viscosity_seed42,0.0988,///
