backbone,chunk_sec,duration_sec,frames_seen,state_bytes,peak_vram_gb
mamba,0.5,30.0,750,233472,0.048509952
mamba,1.0,30.0,750,233472,0.057231872
mamba,2.0,30.0,750,233472,0.07498752
mamba,5.0,30.0,750,233472,0.087032832
mamba,10.0,30.0,750,233472,0.087404544
mamba,30.0,30.0,750,233472,0.083108352
rwkv6,0.5,30.0,750,393216,0.04325632
rwkv6,1.0,30.0,750,393216,0.043476992
rwkv6,2.0,30.0,750,393216,0.043961856
rwkv6,5.0,30.0,750,393216,0.045497856
rwkv6,10.0,30.0,750,393216,0.048058368
rwkv6,30.0,30.0,750,393216,0.058255872
transformer_causal,0.5,30.0,750,9216000,0.05446656
transformer_causal,1.0,30.0,750,9216000,0.054828032
transformer_causal,2.0,30.0,750,9216000,0.055312384
transformer_causal,5.0,30.0,750,9216000,0.056764416
transformer_causal,10.0,30.0,750,9216000,0.059183616
transformer_causal,30.0,30.0,750,9216000,0.071103488
