backbone,T,K,seed,params_M,steps,early_stop,best_per_seq,final_per_seq,final_per_query,final_loss,steps_to_0.5,steps_to_0.9,wall_min,verdict
linear_attn_causal,64,16,42,8.55,30000,False,0.8887,0.8887,0.9924,0.0219,17000,-,17.5,PARTIAL
linear_attn_convshift_multidil_symmetric_v2,64,16,42,8.57,6000,True,1.0,1.0,1.0,0.0,5000,6000,3.7,PASS
linear_attn_lucid,64,16,42,8.55,2000,True,1.0,1.0,1.0,0.0661,2000,2000,1.4,PASS
linear_attn_rse_strong_viscosity,64,16,42,8.66,6000,True,0.0,0.0,0.0003,8.6497,-,-,8.9,FAIL
mamba,64,16,42,9.6,6000,True,0.0,0.0,0.0002,8.4212,-,-,28.3,FAIL
mamba2,64,16,42,9.56,6000,True,0.0,0.0,0.0003,8.4262,-,-,8.3,FAIL
mamba2_convshift_multidil_symmetric_v2,64,16,42,9.62,2000,True,1.0,1.0,1.0,0.0005,2000,2000,1.5,PASS
mamba2_lucid_c,64,16,42,9.56,5000,True,0.996,0.996,0.9998,0.0049,5000,5000,4.9,PASS
mamba2_rse_strong_viscosity,64,16,42,9.71,6000,True,0.0,0.0,0.0002,8.4224,-,-,17.8,FAIL
rwkv6,64,16,42,10.03,6000,True,0.0,0.0,0.0005,8.3635,-,-,6.3,FAIL
rwkv6_convshift_multidil_symmetric_v2,64,16,42,10.05,4000,True,1.0,1.0,1.0,0.0121,3000,4000,2.3,PASS
rwkv6_delta,64,16,42,10.23,6000,True,0.0,0.0,0.0002,8.3593,-,-,63.0,FAIL
rwkv6_lucid,64,16,42,10.03,7000,True,0.9963,0.9963,0.9998,0.0035,5000,6000,9.5,PASS
rwkv6_rse_depth_viscosity,64,16,42,10.1,21000,True,0.0,0.0,0.0003,8.5527,-,-,33.5,FAIL
rwkv6_rse_strong_viscosity,64,16,42,10.14,6000,True,0.0,0.0,0.0003,8.3635,-,-,9.6,FAIL
transformer,64,16,42,8.55,2000,True,0.9983,0.9983,0.9999,0.0011,2000,2000,0.9,PASS
transformer_causal,64,16,42,8.55,5000,True,0.999,0.999,0.9999,0.0008,5000,5000,2.1,PASS
linear_attn_causal,256,64,42,8.55,30000,True,0.0,0.0,0.0672,6.1115,-,-,68.5,FAIL
linear_attn_convshift_multidil_symmetric_v2,256,64,42,8.57,5000,True,0.9983,0.9983,1.0,0.0011,4000,4000,12.2,PASS
linear_attn_lucid,256,64,42,8.55,2000,True,1.0,1.0,1.0,0.0078,2000,2000,5.6,PASS
mamba2,256,64,42,9.56,21000,True,0.0,0.0,0.0003,8.6178,-,-,32.7,FAIL
mamba2_convshift_multidil_symmetric_v2,256,64,42,9.62,1000,True,0.9993,0.9993,1.0,0.6834,1000,1000,2.0,PASS
mamba2_lucid_c,256,64,42,9.56,3000,True,0.995,0.995,0.9999,0.0016,3000,3000,6.5,PASS
rwkv6,256,64,42,10.03,21000,True,0.0,0.0,0.0002,8.4165,-,-,30.7,FAIL
rwkv6_convshift_multidil_symmetric_v2,256,64,42,10.05,3000,True,1.0,1.0,1.0,0.005,3000,3000,4.9,PASS
rwkv6_lucid,256,64,42,10.03,3000,True,0.9993,0.9993,1.0,0.0091,3000,3000,5.9,PASS
transformer_causal,256,64,42,8.55,12000,True,0.9913,0.9913,0.9999,0.0012,12000,12000,10.8,PASS
linear_attn_causal,1024,256,42,,13800,,0.0,0.0,0.0037,,-,-,,SKIP
linear_attn_convshift_multidil_symmetric_v2,1024,256,42,8.57,5000,True,0.9997,0.9997,1.0,0.0081,5000,5000,34.7,PASS
linear_attn_lucid,1024,256,42,8.55,3000,True,0.9993,0.9993,1.0,0.0,3000,3000,26.7,PASS
linear_attn_rse_depth_viscosity,1024,256,42,,,,,,,,-,-,,OOM
mamba2,1024,256,42,,,,,,,,-,-,,SKIP
mamba2_convshift_multidil_symmetric_v2,1024,256,42,9.62,1000,True,1.0,1.0,1.0,0.0301,1000,1000,11.7,PASS
mamba2_lucid_c,1024,256,42,9.56,3000,True,0.9997,0.9997,1.0,0.0001,2000,2000,38.0,PASS
mamba2_rse_depth_viscosity,1024,256,42,,,,,,,,-,-,,SKIP
rwkv6,1024,256,42,,,,,,,,-,-,,SKIP
rwkv6_convshift_multidil_symmetric_v2,1024,256,42,10.05,2000,True,0.9987,0.9987,1.0,0.258,2000,2000,8.7,PASS
rwkv6_lucid,1024,256,42,10.03,5000,True,0.9997,0.9997,1.0,0.0002,4000,4000,30.0,PASS
rwkv6_rse_depth_viscosity,1024,256,42,,,,,,,,-,-,,SKIP
transformer_causal,1024,256,42,8.55,26000,True,0.0,0.0,0.006,7.9737,-,-,202.6,FAIL
